"","ID_point","ID_carre","altitude","NDVI_mean_250","NDVI_var_250","CLC_250","CLC_500","Contains_Water_250","Contains_Forest_250","Contains_Urban_250","Contains_Agri_250","Temp_range","Precip","Dist_1_bat","Bt_v_250","Bt_v_500","Dist_1_bat_log","Bt_v_250_quart","Bt_v_500_quart"
"1","010295P01",10295,-0.315067922944376,0.806309972412534,-0.635321301751797,"Agriculture","Agriculture","0","0","0","1",0.621448511094602,1.19489178929551,76.0105434929008,6195.26663392102,14885.2500000485,-0.553177821460018,"2","2"
"2","010295P02",10295,-0.257434724647331,-0.357553392309301,-0.236684326276234,"Agriculture","Agriculture","0","0","1","1",0.616456162747308,1.16443501746393,24.8298520363942,86754.909999936,215090.379999344,-1.31996302770932,"4","4"
"3","010295P03",10295,-0.23502181419848,0.168918301189445,-0.515988668987779,"Agriculture","Agriculture","0","1","0","1",0.616456162747308,1.16443501746393,11.4865832827086,2881.29999995371,24196.6949999977,-1.84827545966829,"2","3"
"4","010295P04",10295,-0.225416281148972,1.25997954878342,-0.838649098470008,"Forest and natural","Forest and natural","0","1","0","0",0.61914510627718,1.22630243922997,436.521753659858,0,1104.55999996886,0.644787973945155,"0","1"
"5","010295P05",10295,-0.231819969848644,1.39793625334297,-0.902184197572263,"Forest and natural","Forest and natural","0","1","0","1",0.629117707639582,1.26159549466707,210.074204687071,786.004865443392,7077.25000008405,0.143539655805912,"1","2"
"6","010295P06",10295,-0.267040257696838,0.598348408397182,-0.908322260576158,"Agriculture","Agriculture","0","1","0","1",0.629117707639582,1.26159549466707,28.3423184613711,5036.12500010029,19878.7100001582,-1.22928499325871,"2","2"
"7","010295P07",10295,-0.279847635096181,0.774435540133288,-0.467950623274654,"Agriculture","Agriculture","0","0","0","1",0.629117707639582,1.26159549466707,75.517751189618,2547.95499999169,10859.5450000311,-0.557635544759265,"2","2"
"8","010295P08",10295,-0.295856856845361,0.658186499178878,-0.730048729027168,"Agriculture","Agriculture","0","0","0","1",0.621448511094602,1.19489178929551,60.9913012640934,9435.97499996115,32014.5049999549,-0.704050971640047,"3","3"
"9","010295P09",10295,-0.251031035947659,0.955694540244461,-1.08257913815536,"Agriculture","Agriculture","0","0","0","1",0.620811994239877,1.22237529354307,24.1219535979467,19593.0446820006,45503.3499999624,-1.33978623447379,"3","3"
"10","010295P10",10295,-0.254232880297495,0.651896790714523,-1.08338182689085,"Agriculture","Agriculture","0","0","0","1",0.621448511094602,1.19489178929551,22.4750342106122,11426.6985974506,29724.3900000096,-1.38825219580448,"3","3"
