"","ID_point","ID_carre","nb_sp","altitude","NDVI_mean_250","NDVI_var_250","CLC_250","CLC_500","Contains_Water_250","Contains_Forest_250","Contains_Urban_250","Contains_Agri_250","Temp_range","Precip","Dist_1_bat","Bt_v_250","Bt_v_500","nb_sp_carre","prop_sp","Dist_1_bat_log","Bt_v_250_quart","Bt_v_500_quart"
"1","010265P01","010265",9,0.542306370290536,0.546181548554205,-0.764008062523624,"Agriculture","Agriculture","0","0","0","1",0.479538421349687,2.87966793753136,279.78656403509,0,6292.43499997493,28,0.321428571428571,5.6340270411895,"0","2"
"2","010265P02","010265",5,0.582742713818511,0.328592125050402,-0.475748032239608,"Agriculture","Agriculture","0","1","0","1",0.520323979812706,2.90913406603294,313.811201624117,0,2472.83999998868,28,0.178571428571429,5.74879153636073,"0","1"
"3","010265P03","010265",1,0.616958081419106,0.400117344958505,-0.815315540661413,"Agriculture","Agriculture","0","1","0","1",0.479538421349687,2.87966793753136,290.201228564805,0,16195.8722700541,28,0.0357142857142857,5.67057457395183,"0","2"
"4","010265P04","010265",9,0.700941256438748,0.782062836030434,-0.524711326998548,"Forest and natural","Agriculture","0","1","0","1",0.520323979812706,2.90913406603294,276.136156800878,0,27499.3172422718,28,0.321428571428571,5.6208940658163,"0","3"
"5","010265P05","010265",7,0.750709063857795,0.415130212218842,-0.776268416768534,"Agriculture","Agriculture","0","1","0","1",0.561109538275685,2.89262011667659,13.9957907278686,30550.2580455371,53187.6049999788,28,0.25,2.63875662211219,"3","3"
"6","010265P06","010265",11,0.828471262950056,0.817067587507402,-0.8604101791268,"Forest and natural","Forest and natural","0","1","0","1",0.397968082343542,2.85149710599814,332.382061188553,0,35467.4301709745,28,0.392857142857143,5.80628509398153,"0","3"
"7","010265P07","010265",12,1.0430949324447,1.21564270606578,-0.966332276548094,"Forest and natural","Forest and natural","0","1","0","0",0.316396965417583,2.75888870889449,385.253048063651,0,2766.42000004649,28,0.428571428571429,5.95390038607977,"0","1"
"8","010265P08","010265",12,1.14574103524648,1.10353229230215,-0.717953808218476,"Forest and natural","Forest and natural","0","1","0","0",0.316396965417583,2.75888870889449,598.482261079902,0,0,28,0.428571428571429,6.39439688559454,"0","0"
"9","010265P09","010265",8,0.92800687778815,0.879422530924,-0.579602972660654,"Forest and natural","Forest and natural","0","1","0","1",0.316396965417583,2.74334633108168,149.11562752168,1057.79999999702,10993.3500000701,28,0.285714285714286,5.00472202863024,"1","2"
"10","010265P10","010265",4,0.663615400874463,0.547474567585004,-0.736765143623857,"Agriculture","Agriculture","0","1","0","1",0.397968082343542,2.85149710599814,264.766203021484,0,7516.16000002087,28,0.142857142857143,5.57884718382309,"0","2"
"11","010295P01","010295",8,-0.297525379905883,0.126137132958345,-0.142040067739603,"Agriculture","Agriculture","0","0","0","1",0.520323979812706,1.16156145297091,73.3407908457903,8729.16815910845,35230.612023787,33,0.242424242424242,4.29511694586552,"3","3"
"12","010295P02","010295",9,-0.241536596559455,-0.665136213882134,-0.252486363574242,"Agriculture","Agriculture","0","0","1","1",0.520323979812706,1.11040018723962,25.4253635560142,92860.2334937525,220871.987168124,33,0.272727272727273,3.23574724098733,"4","4"
"13","010295P03","010295",14,-0.219763180813622,-0.0005414008023715,-0.774692616545111,"Agriculture","Agriculture","0","1","0","1",0.520323979812706,1.14699025143253,7.5757013245057,5043.11499996623,46482.0134583568,33,0.424242424242424,2.02494593120295,"2","3"
