"","ACCNIS","BUTBUT","MILMIG","ACCGEN","CIRCYA","ATHNOC","FALSUB","CIRAER","ASIOTU","STRALU","CIRPYG","MILMIL","CIRGAL","FALPER","GYPFUL","FALTIN","PERAPI"
"010840P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010873P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010873P02",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"010873P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010873P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010873P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010873P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010873P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010873P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"010873P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010873P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010884P03",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010884P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P05",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P07",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010884P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P01",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P02",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P03",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P04",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P05",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"010914P06",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"010914P07",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010914P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P05",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P07",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010935P01",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010935P02",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010935P03",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010935P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010935P05",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010935P06",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"010935P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010935P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010935P09",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"010935P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"010947P01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010947P02",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010947P03",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010947P04",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010947P05",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010947P06",1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010947P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010947P08",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"010947P09",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"010947P10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010952P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010952P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"010952P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010952P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010952P05",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010952P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010952P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010952P08",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010952P09",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010952P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011020P01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"011020P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011020P03",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"011020P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011020P05",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"011020P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011020P07",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011020P08",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011020P09",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011020P10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011103P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011103P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011103P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011103P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011103P05",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011103P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011103P07",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"011103P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011103P09",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011103P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011158P01",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"011158P02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011158P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011158P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011158P05",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"011158P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011158P07",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011158P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"011158P09",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"011158P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011159P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011159P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011159P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011159P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011159P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011159P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011159P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011159P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011159P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011159P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011230P01",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011230P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"011230P03",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"011230P04",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011230P05",0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"011230P06",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011230P07",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"011230P08",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011230P09",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"011230P10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011303P01",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011303P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011303P03",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011303P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011303P05",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011303P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011303P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011303P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011303P09",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011303P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020163P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020163P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020163P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020163P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020163P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020163P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020163P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020163P08",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020163P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020163P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020204P01",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"020204P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020204P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020204P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"020204P05",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"020204P06",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"020204P07",0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0
"020204P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020204P09",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"020204P10",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020207P01",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"020207P02",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"020207P03",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020207P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020207P05",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020207P06",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020207P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020207P08",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"020207P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020207P10",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"020857P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020857P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"020857P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020857P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020857P05",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020857P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020857P07",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"020857P08",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020857P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"020857P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021192P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"021192P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021192P03",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"021192P04",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"021192P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021192P06",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021192P07",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"021192P08",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021192P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021192P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021279P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021279P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021279P03",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021279P04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021279P05",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021279P06",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021279P07",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021279P08",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021279P09",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021279P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
